product_name,product_model,spec_name,spec_value,spec_unit,price
Hydraulic Shearing,AHM-315,Cutting Length,1525,mm,1234000
Hydraulic Shearing,AHM-315,Cutting Capacity MS,3,mm,1234000
Hydraulic Shearing,AHM-315,Cutting Capacity SS,4,mm,1234000
Hydraulic Shearing,AHM-315,Nom Ret,2,mm,1234000
Hydraulic Shearing,AHM-315,Max Ret,3,mm,1234000
Hydraulic Shearing,AHM-315,Stroke/Minute,1.5-1.2.5,SPM,1234000
Hydraulic Shearing,AHM-315,Nominal Angle,1234,degree,1234000
Hydraulic Shearing,AHM-315,Back Gauge,123,mm,1234000
Hydraulic Shearing,AHM-315,Motor,20,HP,1234000
Hydraulic Shearing,AHM-315,Overall Dimensions,2150 x 1650 x 1850 x 2700,mm,1234000
Hydraulic Shearing,AHM-325,Cutting Length,2540,mm,2300000
Hydraulic Shearing,AHM-325,Cutting Capacity MS,3,mm,2300000
Hydraulic Shearing,AHM-325,Cutting Capacity SS,4,mm,2300000
Hydraulic Shearing,AHM-325,Stroke/Minute,1.5-1.2.5,SPM,2300000
Hydraulic Shearing,AHM-325,Max Ret,3,mm,2300000
Hydraulic Shearing,AHM-325,Nominal Angle,1234,degree,2300000
Hydraulic Shearing,AHM-325,Back Gauge,123,mm,2300000
Hydraulic Shearing,AHM-325,Motor,25,HP,2300000
Hydraulic Shearing,AHM-325,Overall Dimensions,3200 x 1850 x 1950 x 3500,mm,2300000
Hydraulic Shearing,AHM-415,Cutting Length,1525,mm,2250000
Hydraulic Shearing,AHM-415,Cutting Capacity MS,4,mm,2250000
Hydraulic Shearing,AHM-415,Cutting Capacity SS,6,mm,2250000
Hydraulic Shearing,AHM-415,Stroke/Minute,1.6-1.3,SPM,2250000
Hydraulic Shearing,AHM-415,Max Ret,3,mm,2250000
Hydraulic Shearing,AHM-415,Nominal Angle,4500,degree,2250000
Hydraulic Shearing,AHM-415,Back Gauge,123,mm,2250000
Hydraulic Shearing,AHM-415,Motor,25,HP,2250000
Hydraulic Shearing,AHM-415,Overall Dimensions,2250 x 1850 x 2050 x 3200,mm,2250000
Hydraulic Shearing,AHM-425,Cutting Length,2540,mm,3300000
Hydraulic Shearing,AHM-425,Cutting Capacity MS,4,mm,3300000
Hydraulic Shearing,AHM-425,Cutting Capacity SS,6,mm,3300000
Hydraulic Shearing,AHM-425,Stroke/Minute,1.6-1.3,SPM,3300000
Hydraulic Shearing,AHM-425,Max Ret,3,mm,3300000
Hydraulic Shearing,AHM-425,Nominal Angle,8000,degree,3300000
Hydraulic Shearing,AHM-425,Back Gauge,123,mm,3300000
Hydraulic Shearing,AHM-425,Motor,21,HP,3300000
Hydraulic Shearing,AHM-425,Overall Dimensions,3300 x 2250 x 2400 x 5000,mm,3300000
Hydraulic Shearing,AHM-440,Cutting Length,4000,mm,4500000
Hydraulic Shearing,AHM-440,Cutting Capacity MS,4,mm,4500000
Hydraulic Shearing,AHM-440,Cutting Capacity SS,6,mm,4500000
Hydraulic Shearing,AHM-440,Stroke/Minute,1.6-1.3,SPM,4500000
Hydraulic Shearing,AHM-440,Max Ret,3,mm,4500000
Hydraulic Shearing,AHM-440,Nominal Angle,12000,degree,4500000
Hydraulic Shearing,AHM-440,Back Gauge,123,mm,4500000
Hydraulic Shearing,AHM-440,Motor,20,HP,4500000
Hydraulic Shearing,AHM-440,Overall Dimensions,4500 x 2250 x 2400 x 8100,mm,4500000
Hydraulic Shearing,AHM-620,Cutting Length,2030,mm,2750000
Hydraulic Shearing,AHM-620,Cutting Capacity MS,6,mm,2750000
Hydraulic Shearing,AHM-620,Cutting Capacity SS,8,mm,2750000
