product_name,product_model,spec_name,spec_value,spec_unit
Mechanical Press Brake,APBM-212,Tonnage,20,TON
Mechanical Press Brake,APBM-212,Table Length,1270,mm
Mechanical Press Brake,APBM-212,Bending Dimensions,1270x2,kg/mm2
Mechanical Press Brake,APBM-212,Table Width,150,mm
Mechanical Press Brake,APBM-212,Clearing Between Housing,760,mm
Mechanical Press Brake,APBM-212,Ram Stroke,60,mm
Mechanical Press Brake,APBM-212,Ram Adjust,30,mm
Mechanical Press Brake,APBM-212,Shut Height,230,mm
Mechanical Press Brake,APBM-212,Thrust Depth,175,mm
Mechanical Press Brake,APBM-212,Stroke/Minute,50,SPM
Mechanical Press Brake,APBM-212,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-212,Main Motor,2,HP
Mechanical Press Brake,APBM-215,Tonnage,20,TON
Mechanical Press Brake,APBM-215,Table Length,1525,mm
Mechanical Press Brake,APBM-215,Bending Dimensions,1525x1.6,kg/mm2
Mechanical Press Brake,APBM-215,Table Width,150,mm
Mechanical Press Brake,APBM-215,Clearing Between Housing,1000,mm
Mechanical Press Brake,APBM-215,Ram Stroke,60,mm
Mechanical Press Brake,APBM-215,Ram Adjust,30,mm
Mechanical Press Brake,APBM-215,Shut Height,230,mm
Mechanical Press Brake,APBM-215,Thrust Depth,175,mm
Mechanical Press Brake,APBM-215,Stroke/Minute,50,SPM
Mechanical Press Brake,APBM-215,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-215,Main Motor,2,HP
Mechanical Press Brake,APBM-251A,Tonnage,25,TON
Mechanical Press Brake,APBM-251A,Table Length,1525,mm
Mechanical Press Brake,APBM-251A,Bending Dimensions,1525x2,kg/mm2
Mechanical Press Brake,APBM-251A,Table Width,150,mm
Mechanical Press Brake,APBM-251A,Clearing Between Housing,1000,mm
Mechanical Press Brake,APBM-251A,Ram Stroke,60,mm
Mechanical Press Brake,APBM-251A,Ram Adjust,40,mm
Mechanical Press Brake,APBM-251A,Shut Height,230,mm
Mechanical Press Brake,APBM-251A,Thrust Depth,175,mm
Mechanical Press Brake,APBM-251A,Stroke/Minute,45,SPM
Mechanical Press Brake,APBM-251A,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-251A,Main Motor,3,HP
Mechanical Press Brake,APBM-220,Tonnage,25,TON
Mechanical Press Brake,APBM-220,Table Length,2030,mm
Mechanical Press Brake,APBM-220,Bending Dimensions,2030x1.6,kg/mm2
Mechanical Press Brake,APBM-220,Table Width,150,mm
Mechanical Press Brake,APBM-220,Clearing Between Housing,1220,mm
Mechanical Press Brake,APBM-220,Ram Stroke,60,mm
Mechanical Press Brake,APBM-220,Ram Adjust,40,mm
Mechanical Press Brake,APBM-220,Shut Height,230,mm
Mechanical Press Brake,APBM-220,Thrust Depth,175,mm
Mechanical Press Brake,APBM-220,Stroke/Minute,45,SPM
Mechanical Press Brake,APBM-220,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-220,Main Motor,3,HP
Mechanical Press Brake,APBM-320,Tonnage,30,TON
Mechanical Press Brake,APBM-320,Table Length,2030,mm
Mechanical Press Brake,APBM-320,Bending Dimensions,2030x2,kg/mm2
Mechanical Press Brake,APBM-320,Table Width,150,mm
Mechanical Press Brake,APBM-320,Clearing Between Housing,1220,mm
Mechanical Press Brake,APBM-320,Ram Stroke,60,mm
Mechanical Press Brake,APBM-320,Ram Adjust,40,mm
Mechanical Press Brake,APBM-320,Shut Height,250,mm
Mechanical Press Brake,APBM-320,Thrust Depth,175,mm
Mechanical Press Brake,APBM-320,Stroke/Minute,45,SPM
Mechanical Press Brake,APBM-320,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-320,Main Motor,3,HP
Mechanical Press Brake,APBM-325,Tonnage,30,TON
Mechanical Press Brake,APBM-325,Table Length,2540,mm
Mechanical Press Brake,APBM-325,Bending Dimensions,2540x1.6,kg/mm2
Mechanical Press Brake,APBM-325,Table Width,150,mm
Mechanical Press Brake,APBM-325,Clearing Between Housing,1530,mm
Mechanical Press Brake,APBM-325,Ram Stroke,60,mm
Mechanical Press Brake,APBM-325,Ram Adjust,40,mm
Mechanical Press Brake,APBM-325,Shut Height,250,mm
Mechanical Press Brake,APBM-325,Thrust Depth,175,mm
Mechanical Press Brake,APBM-325,Stroke/Minute,45,SPM
Mechanical Press Brake,APBM-325,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-325,Main Motor,5,HP
Mechanical Press Brake,APBM-412,Tonnage,40,TON
Mechanical Press Brake,APBM-412,Table Length,1270,mm
Mechanical Press Brake,APBM-412,Bending Dimensions,1270x4,kg/mm2
Mechanical Press Brake,APBM-412,Table Width,150,mm
Mechanical Press Brake,APBM-412,Clearing Between Housing,910,mm
Mechanical Press Brake,APBM-412,Ram Stroke,60,mm
Mechanical Press Brake,APBM-412,Ram Adjust,40,mm
Mechanical Press Brake,APBM-412,Shut Height,250,mm
Mechanical Press Brake,APBM-412,Thrust Depth,210,mm
Mechanical Press Brake,APBM-412,Stroke/Minute,40,SPM
Mechanical Press Brake,APBM-412,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-412,Main Motor,5,HP
Mechanical Press Brake,APBM-415,Tonnage,40,TON
Mechanical Press Brake,APBM-415,Table Length,1525,mm
Mechanical Press Brake,APBM-415,Bending Dimensions,1525x3,kg/mm2
Mechanical Press Brake,APBM-415,Table Width,150,mm
Mechanical Press Brake,APBM-415,Clearing Between Housing,1060,mm
Mechanical Press Brake,APBM-415,Ram Stroke,60,mm
Mechanical Press Brake,APBM-415,Ram Adjust,40,mm
Mechanical Press Brake,APBM-415,Shut Height,250,mm
Mechanical Press Brake,APBM-415,Thrust Depth,210,mm
Mechanical Press Brake,APBM-415,Stroke/Minute,40,SPM
Mechanical Press Brake,APBM-415,Ram Adjust Mode,0.75,HP
Mechanical Press Brake,APBM-415,Main Motor,5,HP
Mechanical Press Brake,APBM-420,Tonnage,40,TON
Mechanical Press Brake,APBM-420,Table Length,2030,mm
Mechanical Press Brake,APBM-420,Bending Dimensions,2030x2.5,kg/mm2
Mechanical Press Brake,APBM-420,Table Width,150,mm
Mechanical Press Brake,APBM-420,Clearing Between Housing,1220,mm
Mechanical Press Brake,APBM-420,Ram Stroke,60,mm
